gearilevel,talent,targetcount,pantheon,name,ilevel,fon,dps,relative
920,gg,1t,p0,Stat stick (Haste),910,false,616278,41955
920,gg,1t,p0,Stat stick (Haste),915,false,617843,1565
920,gg,1t,p0,Stat stick (Haste),920,false,619567,1724
920,gg,1t,p0,Stat stick (Haste),925,false,621753,2186
920,gg,1t,p0,Stat stick (Haste),930,false,622708,955
920,gg,1t,p0,Stat stick (Haste),935,false,624880,2172
920,gg,1t,p0,Stat stick (Haste),940,false,626576,1696
920,gg,1t,p0,Stat stick (Haste),945,false,628968,2392
920,gg,1t,p0,Stat stick (Haste),950,false,631107,2139
920,gg,1t,p0,Stat stick (Haste),955,false,633956,2849
920,gg,1t,p0,Stat stick (Haste),960,false,636853,2897
920,gg,1t,p0,Stat stick (Haste),965,false,639205,2352
920,gg,1t,p0,Stat stick (Haste),970,false,641707,2502
920,gg,1t,p0,Stat stick (Haste),975,false,644294,2587
920,gg,1t,p0,Stat stick (Haste),980,false,645969,1675
920,gg,1t,p0,Stat stick (Haste),985,false,650899,4930
920,gg,1t,p0,Stat stick (Crit),910,false,614340,40017
920,gg,1t,p0,Stat stick (Crit),915,false,616457,2117
920,gg,1t,p0,Stat stick (Crit),920,false,617587,1130
920,gg,1t,p0,Stat stick (Crit),925,false,619937,2350
920,gg,1t,p0,Stat stick (Crit),930,false,621392,1455
920,gg,1t,p0,Stat stick (Crit),935,false,623267,1875
920,gg,1t,p0,Stat stick (Crit),940,false,625301,2034
920,gg,1t,p0,Stat stick (Crit),945,false,627267,1966
920,gg,1t,p0,Stat stick (Crit),950,false,629608,2341
920,gg,1t,p0,Stat stick (Crit),955,false,631679,2071
920,gg,1t,p0,Stat stick (Crit),960,false,633892,2213
920,gg,1t,p0,Stat stick (Crit),965,false,636751,2859
920,gg,1t,p0,Stat stick (Crit),970,false,639216,2465
920,gg,1t,p0,Stat stick (Crit),975,false,641900,2684
920,gg,1t,p0,Stat stick (Crit),980,false,644246,2346
920,gg,1t,p0,Stat stick (Crit),985,false,647352,3106
920,gg,1t,p0,Stat stick (Mastery),910,false,613144,38821
920,gg,1t,p0,Stat stick (Mastery),915,false,614504,1360
920,gg,1t,p0,Stat stick (Mastery),920,false,616085,1581
920,gg,1t,p0,Stat stick (Mastery),925,false,617481,1396
920,gg,1t,p0,Stat stick (Mastery),930,false,619604,2123
920,gg,1t,p0,Stat stick (Mastery),935,false,621246,1642
